Timestamp,Duration,Average H,Average position x,Average position y,Hs,Tp,Number of waves,Displacement range in x,Displacement range in y,Min displacement x,Max displacement x,Min displacement y,Max displacement y,Tmax_X,Tmax_Y,U (m/s),con,JONSWAP TpX,JONSWAP TpY,JONSWAP Area
20230108080000,29.09666748046875,0.24821378,4.8898787,3.0309937,0.35477236,4.783508771929824,347,1.52071,1.2721894,-0.71828127,0.8024287,-0.85658026,0.41560912,5.729435368300371,5.894147132537224,7.608198065979043,39.082481393179684,5.735317281514739,5.739773330687526,0.49315242415382343
20230108140000,33.49733276367188,0.45349845,3.9623363,2.9208286,0.6481566,5.516551724137932,354,1.8639052,1.5976331,-1.2108569,0.6530483,-0.72414184,0.8734913,6.203258339798293,6.203258339798293,8.54937183364391,114.70102842534432,6.26804107032477,6.225194116241063,2.6722724596299074
20230108160001,46.4566650390625,0.46577188,3.8521862,3.0369594,0.66765887,5.653333333333333,492,1.9526627,1.3491123,-1.0888727,0.86379004,-0.7441056,0.6050067,6.60280759702725,6.60280759702725,8.967630640302986,128.13314407345686,6.390007054695909,6.387166623533217,3.4994231613518916
20230111160001,36.626668294270836,0.17670421,6.01214,3.186586,0.23756662,6.116666666666666,365,0.6863904,0.46153855,-0.33758354,0.34880686,-0.24536681,0.21617174,4.5644479963466145,10.837625372729736,7.712663157501524,9.275061494719475,5.522729260617252,5.4301193551252664,0.11689643400766378
20230111170001,59.95933430989583,0.15407874,6.0226383,3.2551758,0.21256693,5.544306220095693,636,0.8520708,0.42011833,-0.44867373,0.40339708,-0.23003125,0.19008708,6.60280759702725,9.647683397683396,8.080501453834112,6.892779851046221,6.357800466909011,6.425650751342195,0.10005536930135135
20230113100000,23.67933349609375,0.21417677,6.046399,3.211592,0.29103884,4.9245833333333335,291,0.82248545,0.68639064,-0.42509747,0.39738798,-0.35053825,0.33585238,4.891118179593834,4.504281207751239,6.960902605428586,43.63700951384856,4.9674725222372125,4.847143816074873,0.38633852968040916
20230113180000,23.85133260091146,0.1537794,4.548263,3.208043,0.20703335,5.382068965517242,266,0.62130165,0.50295854,-0.35299683,0.26830482,-0.2653296,0.23762894,4.725768321513002,4.725768321513002,7.186596522779088,17.04071576861355,5.1942248545703285,5.019486756855471,0.18972197599281654
20230114100000,51.66466471354167,0.120769136,5.7148743,3.3229315,0.16870661,4.812293577981651,661,0.7218933,0.84023666,-0.33617592,0.3857174,-0.48180223,0.35843444,3.2109870693117015,4.35132781889421,5.811364363279609,16.691462173500693,4.458164963605328,4.69806074278441,0.06145593641531904
20230115120001,20.18600056966146,0.33599293,3.5277562,2.9503312,0.44532707,5.72,221,1.2958579,0.96449685,-0.72302246,0.57283545,-0.4757042,0.48879266,6.203258339798293,6.203258339798293,8.043626863899371,81.64693297472088,6.129809338587735,6.113400222037846,1.4541934150800904
20230115160001,59.962666829427086,0.24719384,3.15726,2.878995,0.3548939,5.457511520737326,660,1.2426035,0.88165665,-0.790396,0.45220757,-0.41686296,0.46479368,5.666099773242631,5.666099773242631,7.724663895376599,65.02380090698034,5.732395934690079,5.7326802195810345,1.0443678848044655
