Valor nulo: -9999.9															
Fecha (GMT)	Altura Signif. del Oleaje(m)	Altura signif. de cruce por cero(m)	Periodo Medio(s)	Periodo Medio Tm02(s)	Periodo de Pico(s)	Altura Máxima del Oleaje(m)	Periodo de la Ola Maxima(s)	Canal de obtencion de los datos	Direcc. Media de Proced.(0=N,90=E)	Direccion Media en el Pico Espectral(0=N,90=E)	Dispersión angular en toda la banda resuelta(grados)	Dispersión angular en el pico de energía espectral(grados)	Canal de obtencion de los datos	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2023 01 04 02	0.38	0.38	4.7	4.6	5.9	0.74	-9999.9	3	111	-9999.9	24	-9999.9	3	15.7	3
2023 01 04 03	0.38	0.37	4.7	4.7	5.7	0.64	-9999.9	3	108	-9999.9	23	-9999.9	3	15.8	3
2023 01 04 04	0.36	0.35	4.5	4.7	5.9	0.59	-9999.9	3	109	-9999.9	25	-9999.9	3	15.8	3
2023 01 04 05	0.33	0.31	4.7	4.8	6.2	0.58	-9999.9	3	108	-9999.9	26	-9999.9	3	15.8	3
2023 01 04 06	0.34	0.32	4.4	4.0	5.7	0.56	-9999.9	3	110	-9999.9	25	-9999.9	3	15.8	3
2023 01 04 07	0.32	0.32	4.4	4.3	6.2	0.46	-9999.9	3	107	-9999.9	25	-9999.9	3	15.8	3
2023 01 04 08	0.28	0.27	4.3	4.0	5.9	0.43	-9999.9	3	112	-9999.9	28	-9999.9	3	15.8	3
2023 01 04 09	0.26	0.25	4.2	4.2	6.2	0.45	-9999.9	3	111	-9999.9	30	-9999.9	3	15.8	3
2023 01 04 10	0.25	0.24	3.9	3.7	5.6	0.47	-9999.9	3	110	-9999.9	29	-9999.9	3	15.9	3
2023 01 04 11	0.23	0.22	4.2	3.8	5.4	0.35	-9999.9	3	110	-9999.9	29	-9999.9	3	16.0	3
2023 01 04 12	0.24	0.23	4.0	3.9	5.6	0.35	-9999.9	3	113	-9999.9	32	-9999.9	3	16.1	3
2023 01 04 13	0.2	0.19	3.6	3.2	5.6	0.32	-9999.9	3	120	-9999.9	36	-9999.9	3	16.1	3
2023 01 04 14	0.2	0.2	3.7	3.2	4.9	0.34	-9999.9	3	122	-9999.9	32	-9999.9	3	16.1	3
2023 01 04 15	0.2	0.19	3.1	2.7	5.1	0.36	-9999.9	3	132	-9999.9	38	-9999.9	3	16.1	3
2023 01 04 16	0.21	0.21	3.2	2.9	5.4	0.39	-9999.9	3	128	-9999.9	36	-9999.9	3	16.1	3
2023 01 04 17	0.19	0.19	3.3	3.0	5.1	0.31	-9999.9	3	132	-9999.9	36	-9999.9	3	16.0	3
2023 01 04 18	0.18	0.18	3.6	3.4	4.7	0.29	-9999.9	3	129	-9999.9	34	-9999.9	3	16.0	3
2023 01 04 19	0.17	0.17	3.6	3.4	5.0	0.3	-9999.9	3	121	-9999.9	33	-9999.9	3	15.9	3
2023 01 04 20	0.16	0.16	3.7	3.4	4.8	0.29	-9999.9	3	122	-9999.9	32	-9999.9	3	15.9	3
2023 01 04 21	0.14	0.14	3.5	3.2	5.3	0.23	-9999.9	3	121	-9999.9	33	-9999.9	3	15.9	3
2023 01 04 22	0.15	0.15	3.6	3.5	6.2	0.23	-9999.9	3	127	-9999.9	33	-9999.9	3	15.8	3
2023 01 04 23	0.16	0.16	3.7	3.7	4.9	0.29	-9999.9	3	132	-9999.9	34	-9999.9	3	15.8	3
2023 01 05 00	0.16	0.15	3.3	3.2	4.8	0.28	-9999.9	3	137	-9999.9	38	-9999.9	3	15.8	3
2023 01 05 01	0.13	0.13	3.3	3.0	6.2	0.22	-9999.9	3	142	-9999.9	42	-9999.9	3	15.7	3
2023 01 05 02	0.13	0.12	3.4	3.1	7.7	0.2	-9999.9	3	135	-9999.9	41	-9999.9	3	15.7	3
2023 01 05 03	0.12	0.11	3.4	3.2	4.7	0.18	-9999.9	3	133	-9999.9	44	-9999.9	3	15.7	3
2023 01 05 04	0.12	0.12	3.4	3.2	4.8	0.21	-9999.9	3	123	-9999.9	46	-9999.9	3	15.7	3
2023 01 05 05	0.13	0.12	3.3	3.3	5.3	0.2	-9999.9	3	121	-9999.9	46	-9999.9	3	15.6	3
2023 01 05 06	0.12	0.11	3.3	3.1	4.7	0.2	-9999.9	3	133	-9999.9	45	-9999.9	3	15.6	3
2023 01 05 07	0.12	0.12	3.1	3.0	5.4	0.22	-9999.9	3	149	-9999.9	50	-9999.9	3	15.6	3
2023 01 05 08	0.13	0.12	3.0	2.8	4.9	0.24	-9999.9	3	167	-9999.9	50	-9999.9	3	15.6	3
2023 01 05 09	0.14	0.14	3.0	2.9	3.2	0.2	-9999.9	3	165	-9999.9	51	-9999.9	3	15.6	3
2023 01 05 10	0.14	0.14	2.8	2.7	3.2	0.23	-9999.9	3	152	-9999.9	54	-9999.9	3	15.7	3
2023 01 05 11	0.13	0.13	2.8	2.2	5.3	0.25	-9999.9	3	173	-9999.9	52	-9999.9	3	15.7	3
2023 01 05 12	0.12	0.13	2.8	2.0	4.3	0.23	-9999.9	3	167	-9999.9	52	-9999.9	3	15.8	3
2023 01 05 13	0.12	0.12	2.9	2.1	4.9	0.22	-9999.9	3	159	-9999.9	50	-9999.9	3	15.8	3
2023 01 05 14	0.12	0.13	2.9	2.3	3.1	0.22	-9999.9	3	159	-9999.9	49	-9999.9	3	15.8	3
